"","member_casual","start_station_name","number_of_station"
"486","casual","Major Ave & Bloomingdale Ave",28
"487","casual","Major Taylor Trail & 115th St",109
"488","casual","Major Taylor Trail & 124th St",86
"489","casual","Malcolm X College Vaccination Site",847
"490","casual","Manor Ave & Leland Ave",483
"491","casual","Maplewood Ave & 59th St",11
"492","casual","Maplewood Ave & Peterson Ave",336
"493","casual","Marine Dr & Ainslie St",3872
"494","casual","Marquette Ave & 89th St",110
"495","casual","Marshfield Ave & 44th St",73
"496","casual","Marshfield Ave & 59th St",37
"497","casual","Marshfield Ave & Cortland St",682
"498","casual","Maryland Ave & 104th St",23
"499","casual","Mason Ave & Belmont Ave",59
"500","casual","May St & 69th St",67
"501","casual","May St & Cullerton St",907
"502","casual","May St & Taylor St",2422
"503","casual","McClurg Ct & Erie St",7626
"504","casual","McClurg Ct & Ohio St",95
"505","casual","McCormick Place",3058
"506","casual","Meade Ave & Addison St",43
"507","casual","Meade Ave & Diversey Ave",35
"508","casual","Menard Ave & Division St",22
"509","casual","Menard Ave & North Ave",4
"510","casual","Michigan Ave & 114th St",69
"511","casual","Michigan Ave & 14th St",5373
"512","casual","Michigan Ave & 18th St",3570
"513","casual","Michigan Ave & 71st St",73
"514","casual","Michigan Ave & 8th St",12997
"515","casual","Michigan Ave & Ida B Wells Dr",5034
"516","casual","Michigan Ave & Jackson Blvd",7861
"517","casual","Michigan Ave & Lake St",13999
"518","casual","Michigan Ave & Madison St",6437
"519","casual","Michigan Ave & Oak St",28637
"520","casual","Michigan Ave & Pearson St",7672
"521","casual","Michigan Ave & Washington St",13635
"522","casual","Mies van der Rohe Way & Chestnut St",7839
"523","casual","Mies van der Rohe Way & Chicago Ave",6075
"524","casual","Millard Ave & 26th St",172
"525","casual","Millennium Park",32135
"526","casual","Milwaukee Ave & Cuyler Ave",271
"527","casual","Milwaukee Ave & Fullerton Ave",46
"528","casual","Milwaukee Ave & Grand Ave",7720
"529","casual","Milwaukee Ave & Rockwell St",2052
"530","casual","Milwaukee Ave & Wabansia Ave",5165
"531","casual","MLK Jr Dr & 29th St",1583
"532","casual","MLK Jr Dr & 47th St",623
"533","casual","MLK Jr Dr & 56th St",239
"534","casual","MLK Jr Dr & 63rd St",188
"535","casual","MLK Jr Dr & 83rd St",47
"536","casual","MLK Jr Dr & Pershing Rd",689
"537","casual","Monticello Ave & Chicago Ave",12
"538","casual","Monticello Ave & Irving Park Rd",631
"539","casual","Montrose Harbor",11356
"540","casual","Morgan Ave & 14th Pl",1049
"541","casual","Morgan St & 18th St",2000
"542","casual","Morgan St & 31st St",1157
"543","casual","Morgan St & Lake St",8647
"544","casual","Morgan St & Pershing Rd",99
"545","casual","Morgan St & Polk St",1769
"546","casual","Mozart St & Jackson Blvd",2
"547","casual","Mulligan Ave & Wellington Ave",46
"548","casual","Museum of Science and Industry",3341
"549","casual","N Carpenter St & W Lake St",95
"550","casual","N Clark St & W Elm St",4
"551","casual","N Damen Ave & W Chicago Ave",5
"552","casual","N Green St & W Lake St",975
"553","casual","N Paulina St & Lincoln Ave",55
"554","casual","N Sheffield Ave & W Wellington Ave",308
"555","casual","N Southport Ave & W Newport Ave",193
"556","casual","Narragansett & Irving Park",31
"557","casual","Narragansett & McLean",14
"558","casual","Narragansett & Wrightwood",51
"559","casual","Narragansett Ave & School St",36
"560","casual","New St & Illinois St",14729
"561","casual","Noble St & Milwaukee Ave",3344
"562","casual","Nordica & Medill",34
"563","casual","Normal Ave & Archer Ave",315
"564","casual","North Ave & New England Ave",15
"565","casual","Oak Park & Wellington",50
"566","casual","Oakley Ave & Irving Park Rd",961
"567","casual","Oakley Ave & Touhy Ave",280
"568","casual","Ogden Ave & Chicago Ave",4843
"569","casual","Ogden Ave & Congress Pkwy",656
"570","casual","Ogden Ave & Race Ave",3358
"571","casual","Ogden Ave & Roosevelt Rd",627
"572","casual","Oglesby Ave & 100th St",80
"573","casual","Oketo Ave & Addison St",41
"574","casual","Olive Harvey College",1
"575","casual","Orange & Addison",33
"576","casual","Orleans St & Chestnut St (NEXT Apts)",4529
"577","casual","Orleans St & Elm St",2265
"578","casual","Orleans St & Hubbard St",3257
"579","casual","Orleans St & Merchandise Mart Plaza",6321
"580","casual","Panama Ave & Grace St",16
"581","casual","Parkside Ave & Armitage Ave",14
"582","casual","Paulina Ave & North Ave",4282
"583","casual","Paulina St & 18th St",1674
"584","casual","Paulina St & Flournoy St",1847
"585","casual","Paulina St & Howard St",791
"586","casual","Paulina St & Montrose Ave",1157
"587","casual","Pawel Bialowas - Test- PBSC charging station",1
"588","casual","Peoria St & Jackson Blvd",5029
"589","casual","Perry Ave & 69th St",150
"590","casual","Phillips Ave & 79th St",185
"591","casual","Phillips Ave & 83rd St",78
"592","casual","Pine Grove Ave & Irving Park Rd",5936
"593","casual","Pine Grove Ave & Waveland Ave",7975
"594","casual","Ping Tom Park (East)",6
"595","casual","Plainfield & Irving Park",50
"596","casual","Prairie Ave & 43rd St",631
"597","casual","Prairie Ave & Garfield Blvd",596
"598","casual","Princeton Ave & 47th St",250
"599","casual","Princeton Ave & Garfield Blvd",192
"600","casual","Prospect Sq & 91st St",173
"601","casual","Pulaski & Ann Lurie Pl",4
"602","casual","Pulaski Rd & 21st St",23
"603","casual","Pulaski Rd & 51st St",16
"604","casual","Pulaski Rd & 60th St",4
"605","casual","Pulaski Rd & Congress Pkwy",117
"606","casual","Pulaski Rd & Eddy St (Temp)",294
"607","casual","Pulaski Rd & Lake St",119
"608","casual","Racine Ave & 13th St",621
"609","casual","Racine Ave & 15th St",1201
"610","casual","Racine Ave & 18th St",2683
"611","casual","Racine Ave & 35th St",476
"612","casual","Racine Ave & 61st St",25
"613","casual","Racine Ave & 65th St",37
"614","casual","Racine Ave & Belmont Ave",6972
"615","casual","Racine Ave & Congress Pkwy",1429
"616","casual","Racine Ave & Fullerton Ave",4691
"617","casual","Racine Ave & Garfield Blvd",92
"618","casual","Racine Ave & Randolph St",2152
